Actual,Predicted
0.39999999999999997,0.3959945
0.13,0.12776782
0.16999999999999998,0.17018051
0.01,0.00990082
0.12,0.118886285
0.08,0.078831986
0.8999999999999999,0.89639217
0.16999999999999998,0.17003122
0.3,0.2966114
0.5,0.48101422
0.12,0.121566646
0.09999999999999999,0.10201456
0.16,0.16029531
0.11,0.11310835
0.049999999999999996,0.048972473
0.7999999999999999,0.7910675
0.11,0.11326428
0.16999999999999998,0.168077
0.19999999999999998,0.19746046
0.15,0.15213922
0.12,0.119161196
0.13999999999999999,0.13783705
0.06999999999999999,0.07939138
0.13,0.1162148
0.19999999999999998,0.20575888
0.09999999999999999,0.09474738
0.15,0.14958185
0.7000000000000001,0.7052606
0.12,0.12394566
0.18,0.18422365
0.11,0.11026986
0.03,0.02992266
0.09999999999999999,0.10058778
0.02,0.019943556
0.09,0.0908938
0.5,0.4941291
0.13999999999999999,0.1394291
0.15,0.14790745
0.11,0.11187632
0.18,0.17981566
0.19999999999999998,0.20069924
0.11,0.114271395
0.13,0.12812698
0.13,0.12730965
0.02,0.020974506
0.7999999999999999,0.7757972
0.7000000000000001,0.6740016
0.39999999999999997,0.40882686
0.02,0.019507034
0.19,0.19516268
0.18,0.18218265
0.12,0.1204911
0.18,0.18013869
0.7000000000000001,0.705526
0.09,0.090220496
0.15,0.14394177
0.11,0.11006308
0.01,0.0099846
0.06,0.05664493
0.11,0.112603836
0.06,0.060951285
0.09,0.09192645
0.11,0.11218262
0.04,0.04121027
0.09,0.091814384
0.15,0.14874251
0.06999999999999999,0.07013592
0.13999999999999999,0.13693504
0.06,0.060492314
0.01,0.009913968
0.11,0.10849196
1.0,0.98114955
0.19999999999999998,0.1966558
0.06999999999999999,0.07038944
0.16,0.1606917
1.0,1.0016627
0.06999999999999999,0.07276534
0.3,0.29376635
0.3,0.29505235
0.12,0.1230495
0.09999999999999999,0.098059386
0.6,0.590918
0.7999999999999999,0.79254055
0.13999999999999999,0.14558658
0.5,0.50046796
0.39999999999999997,0.3996335
0.06,0.059533082
1.0,0.99037683
0.02,0.020563759
0.13,0.13007659
0.11,0.11048086
0.12,0.11961789
0.03,0.03154102
0.11,0.11008319
0.09999999999999999,0.10118314
0.08,0.081987046
0.08,0.07557345
0.11,0.11202537
0.06999999999999999,0.071700014
0.13,0.13001546
1.0,0.9883549
0.39999999999999997,0.4075178
0.06999999999999999,0.07269606
0.09999999999999999,0.10112869
0.19,0.1947883
0.19999999999999998,0.19775264
0.03,0.029599626
0.03,0.030381074
0.06,0.06149651
0.049999999999999996,0.049293526
0.16,0.16337322
0.11,0.10936292
0.06999999999999999,0.07000704
0.09999999999999999,0.10096246
0.06999999999999999,0.072003156
0.18,0.17770198
0.06,0.060251378
0.049999999999999996,0.048647523
0.5,0.49984202
0.06,0.06029728
0.13,0.1280752
0.09,0.09144325
0.11,0.11118593
0.04,0.039013147
0.8999999999999999,0.89964265
0.13999999999999999,0.1423471
0.19,0.18839687
0.39999999999999997,0.39438814
0.5,0.49888498
0.09,0.09204525
0.06999999999999999,0.06964886
0.19,0.1946693
0.03,0.030716272
0.12,0.12040278
0.7000000000000001,0.7027099
0.11,0.10988552
0.3,0.29812774
0.02,0.01969917
0.12,0.11582496
0.8999999999999999,0.88935566
0.6,0.6131771
0.09999999999999999,0.10554364
0.06,0.057999082
0.6,0.6259375
0.13999999999999999,0.1440123
0.19,0.19227466
0.04,0.039124638
0.01,0.009892831
0.03,0.031223215
0.15,0.15163206
0.03,0.028822638
0.02,0.020074135
0.049999999999999996,0.044141114
0.08,0.0772277
0.049999999999999996,0.052358158
0.8999999999999999,0.8826631
0.08,0.081472
0.06,0.061373644
0.39999999999999997,0.3968499
0.12,0.119553685
0.049999999999999996,0.054759674
0.3,0.29546118
0.03,0.028494988
0.13999999999999999,0.14116536
0.7000000000000001,0.700315
0.11,0.109958336
0.049999999999999996,0.046287075
0.06999999999999999,0.06994376
0.02,0.017170712
0.09999999999999999,0.10303546
0.5,0.49500868
0.06999999999999999,0.072322726
0.02,0.019110195
0.16999999999999998,0.1681574
0.09999999999999999,0.10023122
0.19999999999999998,0.20068194
0.04,0.04005661
0.39999999999999997,0.40330938
0.12,0.116367355
0.7999999999999999,0.7839657
0.3,0.30208942
0.06999999999999999,0.06938085
0.7999999999999999,0.7807626
0.01,0.009892831
0.7999999999999999,0.79105616
0.6,0.6209069
0.18,0.18152325
0.11,0.112406224
0.15,0.15410517
0.08,0.080458425
0.13999999999999999,0.14104731
0.04,0.04332453
0.19,0.19528808
0.15,0.15561348
0.8999999999999999,0.8935944
0.16,0.16344668
0.01,0.009905434
0.049999999999999996,0.04904837
0.11,0.10992544
0.11,0.11074931
0.8999999999999999,0.91489446
0.16999999999999998,0.17206225
0.06,0.05991275
0.11,0.10964803
0.12,0.12175212
0.5,0.4967545
0.39999999999999997,0.4054759
0.16,0.15732871
0.15,0.1491233
0.11,0.11118593
0.16999999999999998,0.17368671
0.39999999999999997,0.3991349
0.3,0.29603925
0.09999999999999999,0.1032108
0.03,0.031930257
0.13,0.1320743
0.08,0.07998722
0.12,0.11718911
0.18,0.18225841
0.04,0.040661853
0.12,0.1221152
0.18,0.17544708
0.39999999999999997,0.40557882
0.02,0.019948304
0.04,0.039830986
0.18,0.18023033
0.19999999999999998,0.20219131
0.7999999999999999,0.7929261
0.04,0.04250423
0.39999999999999997,0.45895353
0.13999999999999999,0.12898774
0.18,0.17770836
0.16999999999999998,0.167335
0.12,0.12194093
0.08,0.0815926
0.6,0.5922017
0.04,0.041258663
0.04,0.04286947
0.09,0.08785301
0.7000000000000001,0.6888023
0.09999999999999999,0.1003233
0.049999999999999996,0.052791752
0.19,0.19382928
0.049999999999999996,0.04980457
0.09999999999999999,0.10046921
0.7999999999999999,0.7939472
0.049999999999999996,0.04679639
0.13999999999999999,0.13732123
0.04,0.042027213
